City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,opuwo,-18.0607,13.84,20.88,41,73,1.35,NA,1682994229
321,santa cruz,-17.8,-63.1667,22.7,94,75,1.03,BO,1682994230
322,dhulikhel,27.6189,85.5529,14.1,67,100,0.06,NP,1682994231
323,port saint john's,-31.6229,29.5448,18.01,78,10,3.19,ZA,1682994233
324,bela,25.9333,81.9833,25.29,65,36,4.71,IN,1682993934
325,masjed soleyman,31.9364,49.3039,20.71,26,0,0.42,IR,1682994235
326,dunedin,-45.8742,170.5036,14.89,80,90,2.68,NZ,1682994236
327,puerto leguizamo,-0.1934,-74.7819,23.41,95,90,0.2,CO,1682994237
328,arraial do cabo,-22.9661,-42.0278,23.29,87,0,4.33,BR,1682994238
329,allegan,42.5292,-85.8553,4.9,92,100,7.15,US,1682994239
330,zubova polyana,54.0771,42.8372,6.36,93,100,3.45,RU,1682994241
331,port lincoln,-34.7333,135.8667,18.12,59,46,6.72,AU,1682994242
332,nova xavantina,-14.6667,-52.35,23.02,78,3,1.14,BR,1682994243
333,okha,53.5739,142.9478,0.89,95,100,2.54,RU,1682994244
334,mount pearl,47.5166,-52.7813,1.75,92,100,5.66,CA,1682994174
335,haiku-pauwela,20.9219,-156.3051,28.01,59,40,4.12,US,1682994246
336,tralee,52.2704,-9.7026,8.93,91,97,1.85,IE,1682994084
337,gebeit,21.0667,36.3167,21.09,27,97,1.72,SD,1682994249
338,limassol,34.675,33.0333,15.04,63,0,2.06,CY,1682994250
339,tual,-5.6667,132.75,27.33,82,100,5.77,ID,1682994251
340,darab,28.7519,54.5444,19.66,26,0,2.07,IR,1682994252
341,slatina,44.4333,24.3667,11.36,72,11,5.66,RO,1682994253
342,ust'-barguzin,53.45,108.9833,2.24,65,100,2.83,RU,1682994255
343,trairi,-3.2778,-39.2689,24.52,91,100,2.38,BR,1682994021
344,westport,41.1415,-73.3579,12.83,83,75,6.69,US,1682994258
345,kalevala,65.2,31.1667,-0.64,87,100,3.72,RU,1682994259
346,santa rosa,14.3122,121.1114,33.99,59,88,6.45,PH,1682994260
347,fort irwin,35.2627,-116.6848,17.9,39,0,9.77,US,1682994233
348,betio village,1.358,172.9211,31.02,77,20,6.19,KI,1682994262
349,williston,48.147,-103.618,12.8,38,86,0.89,US,1682994263
350,kavieng,-2.5744,150.7967,29.46,72,37,5.79,PG,1682994264
351,moranbah,-22.0016,148.0466,26.99,49,78,3.51,AU,1682994267
352,bayville,40.9106,-73.5621,14.01,69,72,5.51,US,1682994268
353,kenora,49.8167,-94.4337,7.54,33,20,6.17,CA,1682994270
354,mejit,10.2753,170.8646,27.24,81,93,9.79,MH,1682994271
355,glasgow,55.8652,-4.2576,7.9,87,100,4.63,GB,1682994272
356,villa gesell,-37.2639,-56.973,7.25,45,0,3.8,AR,1682994273
357,olutanga,7.3106,122.8464,28.39,74,67,1.26,PH,1682994274
358,nar'yan-mar,67.6713,53.087,1.66,100,100,7.28,RU,1682994276
359,arkhangel'sk,64.5401,40.5433,2.17,83,100,3.77,RU,1682994277
360,milan,45.4643,9.1895,12.82,96,75,2.06,IT,1682994179
